lsoa_code,traj,traj_titles
E01024224,B,"N = 8,124 (26%)"
E01024225,A,"N = 23,924 (72%)"
E01024226,B,"N = 8,124 (26%)"
E01024227,A,"N = 23,924 (72%)"
E01024228,B,"N = 8,124 (26%)"
E01024229,A,"N = 23,924 (72%)"
E01024230,A,"N = 23,924 (72%)"
E01024231,A,"N = 23,924 (72%)"
E01024232,A,"N = 23,924 (72%)"
E01024233,A,"N = 23,924 (72%)"
E01024234,A,"N = 23,924 (72%)"
E01024235,A,"N = 23,924 (72%)"
E01024236,A,"N = 23,924 (72%)"
E01024237,A,"N = 23,924 (72%)"
E01024238,A,"N = 23,924 (72%)"
E01024239,B,"N = 8,124 (26%)"
E01024240,B,"N = 8,124 (26%)"
E01024241,B,"N = 8,124 (26%)"
E01024242,A,"N = 23,924 (72%)"
E01024243,A,"N = 23,924 (72%)"
E01024244,B,"N = 8,124 (26%)"
E01024245,A,"N = 23,924 (72%)"
E01024246,C,"N = 5,664 (3%)"
E01024247,B,"N = 8,124 (26%)"
E01024248,B,"N = 8,124 (26%)"
E01024249,C,"N = 5,664 (3%)"
E01024250,B,"N = 8,124 (26%)"
E01024251,B,"N = 8,124 (26%)"
E01024252,A,"N = 23,924 (72%)"
E01024253,A,"N = 23,924 (72%)"
E01024254,B,"N = 8,124 (26%)"
E01024255,A,"N = 23,924 (72%)"
E01024256,A,"N = 23,924 (72%)"
E01024257,C,"N = 5,664 (3%)"
E01024258,B,"N = 8,124 (26%)"
E01024259,A,"N = 23,924 (72%)"
E01024260,A,"N = 23,924 (72%)"
E01024261,B,"N = 8,124 (26%)"
E01024262,B,"N = 8,124 (26%)"
E01024263,A,"N = 23,924 (72%)"
E01024264,B,"N = 8,124 (26%)"
E01024265,A,"N = 23,924 (72%)"
E01024266,A,"N = 23,924 (72%)"
E01024267,A,"N = 23,924 (72%)"
E01024268,A,"N = 23,924 (72%)"
E01024269,A,"N = 23,924 (72%)"
E01024270,A,"N = 23,924 (72%)"
E01024271,A,"N = 23,924 (72%)"
E01024272,A,"N = 23,924 (72%)"
E01024273,A,"N = 23,924 (72%)"
E01024274,A,"N = 23,924 (72%)"
E01024275,A,"N = 23,924 (72%)"
E01024276,B,"N = 8,124 (26%)"
E01024277,B,"N = 8,124 (26%)"
E01024278,C,"N = 5,664 (3%)"
E01024279,B,"N = 8,124 (26%)"
E01024280,C,"N = 5,664 (3%)"
E01024281,B,"N = 8,124 (26%)"
E01024282,A,"N = 23,924 (72%)"
E01024283,A,"N = 23,924 (72%)"
E01024284,B,"N = 8,124 (26%)"
E01024285,A,"N = 23,924 (72%)"
E01024286,B,"N = 8,124 (26%)"
E01024287,A,"N = 23,924 (72%)"
E01024288,A,"N = 23,924 (72%)"
E01024290,B,"N = 8,124 (26%)"
E01024291,B,"N = 8,124 (26%)"
E01024292,A,"N = 23,924 (72%)"
E01024293,B,"N = 8,124 (26%)"
E01024294,B,"N = 8,124 (26%)"
E01024295,C,"N = 5,664 (3%)"
E01024296,B,"N = 8,124 (26%)"
E01024297,A,"N = 23,924 (72%)"
E01024298,A,"N = 23,924 (72%)"
E01024299,A,"N = 23,924 (72%)"
E01024300,A,"N = 23,924 (72%)"
E01024301,A,"N = 23,924 (72%)"
E01024302,A,"N = 23,924 (72%)"
E01024303,A,"N = 23,924 (72%)"
E01024304,A,"N = 23,924 (72%)"
E01024305,B,"N = 8,124 (26%)"
E01024306,A,"N = 23,924 (72%)"
E01024307,A,"N = 23,924 (72%)"
E01024308,B,"N = 8,124 (26%)"
E01024309,A,"N = 23,924 (72%)"
E01024310,B,"N = 8,124 (26%)"
E01024311,B,"N = 8,124 (26%)"
E01024312,A,"N = 23,924 (72%)"
E01024313,A,"N = 23,924 (72%)"
E01024314,B,"N = 8,124 (26%)"
E01024315,B,"N = 8,124 (26%)"
E01024316,B,"N = 8,124 (26%)"
E01024317,B,"N = 8,124 (26%)"
E01024318,A,"N = 23,924 (72%)"
E01024319,B,"N = 8,124 (26%)"
E01024320,A,"N = 23,924 (72%)"
E01024321,A,"N = 23,924 (72%)"
E01024322,A,"N = 23,924 (72%)"
E01024323,B,"N = 8,124 (26%)"
E01024324,A,"N = 23,924 (72%)"
E01024325,A,"N = 23,924 (72%)"
E01024326,A,"N = 23,924 (72%)"
E01024327,A,"N = 23,924 (72%)"
E01024328,A,"N = 23,924 (72%)"
E01024329,A,"N = 23,924 (72%)"
E01024330,A,"N = 23,924 (72%)"
E01024331,A,"N = 23,924 (72%)"
E01024332,A,"N = 23,924 (72%)"
E01024333,A,"N = 23,924 (72%)"
E01024334,A,"N = 23,924 (72%)"
E01024335,B,"N = 8,124 (26%)"
E01024336,B,"N = 8,124 (26%)"
E01024337,A,"N = 23,924 (72%)"
E01024338,A,"N = 23,924 (72%)"
E01024339,B,"N = 8,124 (26%)"
E01024340,B,"N = 8,124 (26%)"
E01024341,A,"N = 23,924 (72%)"
E01024342,A,"N = 23,924 (72%)"
E01024343,A,"N = 23,924 (72%)"
E01024344,A,"N = 23,924 (72%)"
E01024345,A,"N = 23,924 (72%)"
E01024346,A,"N = 23,924 (72%)"
E01024347,A,"N = 23,924 (72%)"
E01024348,A,"N = 23,924 (72%)"
E01024349,A,"N = 23,924 (72%)"
E01024350,B,"N = 8,124 (26%)"
E01024351,A,"N = 23,924 (72%)"
E01024352,B,"N = 8,124 (26%)"
E01024353,A,"N = 23,924 (72%)"
E01024354,A,"N = 23,924 (72%)"
E01024355,A,"N = 23,924 (72%)"
E01024356,A,"N = 23,924 (72%)"
E01024357,A,"N = 23,924 (72%)"
E01024358,B,"N = 8,124 (26%)"
E01024360,A,"N = 23,924 (72%)"
E01024361,A,"N = 23,924 (72%)"
E01024362,A,"N = 23,924 (72%)"
E01024363,B,"N = 8,124 (26%)"
E01024364,A,"N = 23,924 (72%)"
E01024365,A,"N = 23,924 (72%)"
E01024366,B,"N = 8,124 (26%)"
E01024367,B,"N = 8,124 (26%)"
E01024369,A,"N = 23,924 (72%)"
E01024371,A,"N = 23,924 (72%)"
E01024372,C,"N = 5,664 (3%)"
E01024373,B,"N = 8,124 (26%)"
E01024374,B,"N = 8,124 (26%)"
E01024375,A,"N = 23,924 (72%)"
E01024376,A,"N = 23,924 (72%)"
E01024377,A,"N = 23,924 (72%)"
E01024378,A,"N = 23,924 (72%)"
E01024379,A,"N = 23,924 (72%)"
E01024380,A,"N = 23,924 (72%)"
